⺆  ⿰㇓𠃌
礻  ⿱丶⿸⿱㇇丨丶
禹  ⿻⿳丿口冂⿺丄丶
禺  ⿻⿱日冂⿺丄丶
米  ⿻⿻丷十八
粛  ⿱肀⿲㇓米丨
纟  ⿱⿱𠃋𠃋㇀
缶  ⿶午凵
罒  ⿵冂⿱⿰丨丨一
耂  ⿻土丿
耳  ⿻⿵⿱一⿰丨丨二一
肃  ⿻肀⿴⿰㇓丨八
肅  ⿻⿻⿻⿻⿻肀⿲㇓一丨𠃎𠃊𠃍⿱一丨
肉  ⿵⿻冂人人
臣  ⿷匚⿳丨⿱𠃍一丨
自  ⿵⿱丿冂三
臼  ⿱⿵⿰⿱丿丨𠃌⿰一一一
舟  ⿵⿴⿻⿱丿⿰㇓𠃌一丶丶
艮  ⿸⿺⿹𠃍⿱一一𠄌⿱丿乀
虫  ⿻口⿺丄丶
衤  ⿱丶⿸⿱㇇丨⿱丿丶
襾  ⿻⿱一冂⿰𠃊丨
见  ⿵⿰丨𠃍⿰㇓乚
角  ⿱⿰丿㇇用
言  ⿳亠二口
訁  〾⿳亠二口
讠  ⿱丶⺄
谷  ⿱八⿵人口
豆  ⿱一⿳口丷一
豸  ⿹⿱爫亅⿱丿丿
贝  ⿵⿰丨𠃍人
身  ⿻⿵⿱丿冂三丿
車  ⿻⿳一日一丨
车  ⿻⿻一𠃋⿻亅一
辶  ⿱丶⿱㇌乁
酉  ⿵⿻⿱一冂儿二
重  ⿱⿻⿱⿱丿一日十一
釒  ⿱⿻⿵人干丷㇀
钅  ⿱⿰丿一⿻二𠄌
长  ⿸⿻⿱丿一𠄌乀
门  ⿰⿱丶丨𠃌
阝  ⿰丨㇌
隶  ⿻⿻⿹⿻𠃍一一亅⿰⿱丶㇀⿱丿乀
隹  ⿰亻⿻⿱亠一土
非  ⿰⿰丨三⿰丨三
革  ⿻⿱廿口十
韦  ⿻⿱二𠃌丨
頁  ⿳一自八
页  ⿳一丿贝
飛  ⿹飞⿻升飞
飞  ⿺乙⿱丿丶
饣  ⿵⿰丿㇇𠄌
黽  ⿷⿹⿵⿱⿰丨𠃍⿰一一⿺丨乚⿰丨三彐
齿  ⿱止⿶人凵
龜  ⿴⿻⿱⿰丿㇇⿵⿱⿰丨𠃍⿰一一⿺丨乚⿻⿻⿻𠃍𠃌一⿻⿻𠃍一一⿻丿丶
龰  ⿺⺊人
龴  ⿹㇇丶
龵  ⿻⿱丿二㇓
龶  ⿱⿻二丨一
㐁  ⿱⿻⿱一冂人一
㐄  ⿻⿱一𠃊丨
㐅  ⿻丿丶
㐆  ⿸⿸⿱丿㇓彐𠃌
㐧  ⿹⿻⿱丶乛亅丿
㔾  ⿺𠃌乚
㠯  ⿰丨⿱⿱𠃍一⿱𠃍一
㱐  ⿺⿱二止丶
㸦  ⿻⿻⿱一𠃊亅乀
䍏  ⿵冂⿱一⿰丨丨
車  ⿻⿳一日一丨
龜  〾⿴⿻⿱⿰丿㇇⿵⿱⿰丨𠃍⿰一一⿺丨乚⿻⿻⿻𠃍𠃌一⿻⿻𠃍一一⿻丿丶
龜  〾〾⿴⿻⿱⿰丿㇇⿵⿱⿰丨𠃍⿰一一⿺丨乚⿻⿻⿻𠃍𠃌一⿻⿻𠃍一一⿻丿丶
丹  ⿴⿻⿰㇓𠃌一丶
女  ⿻⿻𡿨丿一
年  ⿻⿳𠂉⿰丨一一丨
卑  ⿸⿻白㇓十
既  ⿰⿸⿱丿丨⿱彐二⿻⿱一𠃊儿
者  ⿸⿸⿻土丿丶日
艹  ⿰⿰一丨⿰丨一
辶  〾⿱丶⿱㇌乁
華  ⿻⿱艹⿱⿻二⿰丨丨一十
龜  〾〾〾⿴⿻⿱⿰丿㇇⿵⿱⿰丨𠃍⿰一一⿺丨乚⿻⿻⿻𠃍𠃌一⿻⿻𠃍一一⿻丿丶
𠀀  ⿱⿱一𠃎𠃊
𠀈  ⿱⿸⿱丿丨㇎一
𠀉  ⿱⿸⿱丿丨一一
𠀌  ⿱⿰𠃍⿰一丨一
𠀍  ⿻卄𠃊
𠀑  ⿻⿱一冂儿
𠀟  ⿻⿻⿱一⿺𠃍㇉丨八
𠁁  ⿱⿰⿱⿱⿺𠃊𠃍一㇞⿱⿺⿱𠃍一㇞⿱一丨一
𠁣  ⿰丨彐
𠁦  ⿸中二
𠁧  ⿻口⿱㇞⿱一丨
𠁩  ⿸⿻二中二
𠁰  ⿻⿻二丨⿰彐⿷匚一
𠁱  ⿻⿻⿻⿱一口十⿰㇇⿱丿乀一
𠁾  ⿴⿹𠄌𠃍丶
𠂀  ⿴⿻卄一丶
𠂂  ⿱⿱⿱丿冂⿰一一廾
𠂆  ⿱丿㇓
𠂇  ⿻一丿
𠂉  ⿰丿一
𠂊  ⿰丿㇇
𠂍  ⿻𠂆𠄎
𠂎  ⿰⿱丿𠄌㇓
𠂒  ⿰丿土
𠂣  ⿻⿸𠂆彐㇉
𠂼  ⿰⿰㇓⿱匚匚⿰丨⿱⿱𠃍一⿱𠃍一
𠃉  ⿱丿乙
𠃓  ⿹𠄎⿰丿丿
𠃛  ⿴⿹𠃊𠃌一
𠃜  ⿰㇓⿱⿹𠃍丨一
𠃢  ⿻⿱冂⿰一一⿰㇓丨
𠄏  〾了
𠄓  ⿰㇓⿻⿰𠄌乀丨
𠄔  〾予
𠄙  ⿱一⿻⿱口⿱⿻𠃍一一亅
𠑹  ⿺⿰匚儿⿱𠃍一
𠕄  〾凹
𠘧  ⿰㇓㇍
𠘨  ⿰㇓⺄
𠙴  ⿰𠃋丨
𠚒  ⿶凵⿰⿱丨三⿱丨三
𠤬  ⿺乙𠃊
𠥓  ⿴⿴⿴⿷匚匚⿰丨丨⿰丨丨⿳丶一㇀
𠥻  ⿻卄㇀
𠦁  ⿻⿱⿱𠃍一丨十
𠦑  ⿸⿵⿻廾丶⿰丶丶丶
𠾃  ⿱⿶⿱亠⿱凵丨凵⿵冂⿱大口
𡆵  ⿴口⿰⿱𠃎𠃍⿱𠃊⿱一丨
𡗒  ⿻⿻⿱𠃍一㇓乀
𡦹  ⿱丶⿵几α
𡭔  ⿻丨八
𡯁  ⿸⿻一㇓乙
